"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
2640,"LE83","small_airport","Aeródromo forestal de Mojados",41.465728,-4.713068,2329,"EU","ES","ES-CL","Mojados","no","LEOA",,,,"https://es.wikipedia.org/wiki/Aer%C3%B3dromo_de_Mojados",
2641,"LE84","small_airport","Jayena Airfield",36.930698,-3.83538,3654,"EU","ES","ES-AN","Jayena","no",,,,,,
31809,"LE85","closed","Tablada Airport",37.3517,-6.01456,26,"EU","ES","ES-AN","Sevilla","no",,,,,,
3996,"LEAB","medium_airport","Albacete-Los Llanos Airport",38.9485015869,-1.8635200262099998,2302,"EU","ES","ES-CM","Albacete","yes","LEAB","ABC",,"http://www.aena.es/csee/Satellite?cid=1046767815090&pagename=subHome&Language=EN_GB&SiteName=LEAB&c=Page","https://en.wikipedia.org/wiki/Albacete_Airport","Los Llanos Air Base"
3997,"LEAL","large_airport","Alicante International Airport",38.28219985961914,-0.5581560134887695,142,"EU","ES","ES-V","Alicante","yes","LEAL","ALC",,"http://www.aena.es/csee/Satellite?cid=1049437849176&pagename=subHome&Language=EN_GB&SiteName=ALC&c=Page","https://en.wikipedia.org/wiki/Alicante_Airport",
3998,"LEAM","medium_airport","Almería International Airport",36.84389877319336,-2.3701000213623047,70,"EU","ES","ES-AN","Almería","yes","LEAM","LEI",,"http://www.aena.es/csee/Satellite?cid=1048146844127&pagename=subHome&Language=EN_GB&SiteName=LEI&c=Page","https://en.wikipedia.org/wiki/Almer%C3%ADa_International_Airport",
29409,"LEAP","small_airport","Ampuriabrava Airfield",42.259998,3.109722,2,"EU","ES","ES-CT","Empuriabrava","no","LEAP",,,,,"Empuriabrava,Ampuriabrava"
3999,"LEAS","medium_airport","Asturias Airport",43.5635986328125,-6.0346198081970215,416,"EU","ES","ES-O","Ranón","yes","LEAS","OVD",,"http://www.aena.es/csee/Satellite?cid=1047658435997&pagename=subHome&Language=EN_GB&SiteName=OVD&c=Page","https://en.wikipedia.org/wiki/Asturias_Airport",
31805,"LEAT","closed","Alfes Airport",41.549999,0.65,705,"EU","ES","ES-L","LLeida - Alfes","no","LEAT",,,,,
30054,"LEAX","small_airport","La Axarquía-Leoni Benabu Airport",36.801666259765625,-4.135556221008301,118,"EU","ES","ES-AN","Málaga","no","LEAX",,,,,
4000,"LEBA","medium_airport","Córdoba Airport",37.84199905395508,-4.848879814147949,297,"EU","ES","ES-AN","Córdoba","no","LEBA","ODB",,"http://www.aena.es/csee/Satellite?cid=1046972065602&pagename=subHome&Language=EN_GB&SiteName=ODB&c=Page","https://en.wikipedia.org/wiki/C%C3%B3rdoba_Airport",
4001,"LEBB","medium_airport","Bilbao Airport",43.30110168457031,-2.9106099605560303,138,"EU","ES","ES-PV","Bilbao","yes","LEBB","BIO",,"http://www.aena.es/csee/Satellite?cid=1047658432525&pagename=subHome&Language=EN_GB&SiteName=BIO&c=Page","https://en.wikipedia.org/wiki/Bilbao_Airport",
43249,"LEBC","heliport","Costa Brava-Centro Heliport",41.807701110839844,3.037179946899414,42,"EU","ES","ES-CT",,"no","LEBC",,,,,
4002,"LEBE","small_airport","Beas De Segura Airport",38.27111053466797,-2.9488890171051025,1780,"EU","ES","ES-AN","Jaén","no","LEBE",,,,,
4003,"LEBG","medium_airport","Burgos Airport",42.357601,-3.62076,2945,"EU","ES","ES-CL","Burgos","no","LEBG","RGS",,"http://www.aena.es/csee/Satellite?cid=1047546622026&pagename=subHome&Language=EN_GB&SiteName=LEBG&c=Page","https://en.wikipedia.org/wiki/Burgos_Airport",
43295,"LEBI","heliport","Sa Sabina Heliport",38.71659851074219,1.3999600410461426,44,"EU","ES","ES-PM","Formentera Island","no","LEBI",,,,,
4004,"LEBL","large_airport","Barcelona International Airport",41.2971,2.07846,12,"EU","ES","ES-CT","Barcelona","yes","LEBL","BCN",,"http://www.aena.es/en/barcelona-airport/index.html","https://en.wikipedia.org/wiki/Barcelona%E2%80%93El_Prat_Airport","El Prat Airport"
43239,"LEBP","heliport","BP Oil España Heliport",39.957901,-0.011632,943,"EU","ES","ES-V","Castellón de La Plana","no","LEBP",,,,,
4005,"LEBZ","medium_airport","Badajoz Airport",38.891300201416016,-6.8213300704956055,609,"EU","ES","ES-EX","Badajoz","yes","LEBZ","BJZ",,"http://www.aena.es/csee/Satellite?cid=1047546622728&pagename=subHome&Language=EN_GB&SiteName=BJZ&c=Page","https://en.wikipedia.org/wiki/Badajoz_Airport","Talavera La Real Airport"
43278,"LECA","small_airport","La Nava - Corral De Ayllón Airfield",41.410801,-3.44833,3280,"EU","ES","ES-CL","Corral de Ayllón","no","LECA",,,,,
43244,"LECC","heliport","Cas Curredó Heliport",38.929100036621094,1.4663300514221191,278,"EU","ES","ES-PM","Ibiza Island","no","LECC",,,,,
